Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Species
may,2016,USA,Teasing a shark,F,23,N,Nurse shark
may,2016,NEW ZEALAND,Fishing,M,39,N,Mako shark
apr,2016,INDONESIA,Surfing,M,24,N,Bull shark
apr,2016,SOUTH AFRICA,Surf-skiing,M,,N,White shark
apr,2016,AUSTRALIA,Swimming,M,12,N,Wobbegong shark
apr,2016,FRENCH POLYNESIA,Spearfishing,M,22,,Reef shark
apr,2016,FRENCH POLYNESIA,Spearfishing,M,26,N,Reef shark
apr,2016,USA,Spearfishing,M,26,N,Bull shark
apr,2016,NEW CALEDONIA,Walking,F,69,Y,Tiger shark
mar,2016,BAHAMAS,,M,9,N,Nurse shark
jan,2016,USA,Surfing,M,,N,Reef shark
jan,2016,USA,Spearfishing,M,,N,Bull shark
jan,2016,UNITED ARAB EMIRATES,Fishing,M,,N,Mako shark
jan,2016,USA,Paddle boarding,M,48,N,Tiger shark
jan,2016,AUSTRALIA,Surfing,M,,N,Wobbegong shark
jan,2016,AUSTRALIA,Wading,M,11,N,Blacktip shark
dec,2015,SOUTH AFRICA,Kayak Fishing,M,,N,White shark
dec,2015,AUSTRALIA,Surfing,M,43,N,Whaler shark
dec,2015,BRAZIL,Scuba diving,M,32,N,Tiger shark
dec,2015,AUSTRALIA,Fishing,,,N,White shark
dec,2015,BAHAMAS,Lobster fishing,M,26,N,Bull shark
nov,2015,USA,Surfing,M,28,N,Spinner shark
nov,2015,AUSTRALIA,Surfing,M,20,N,Bull shark
oct,2015,SOUTH AFRICA,Surfing,M,42,N,White shark
oct,2015,USA,Surfing,M,21,N,Spinner shark
oct,2015,USA,Swimming,M,44,N,Tiger shark
oct,2015,USA,Surfing,M,25,N,Tiger shark
oct,2015,USA,Surfing,M,14,N,Blacktip shark
sep,2015,USA,Surfing,M,22,N,Blacktip shark
sep,2015,USA,Kayak fishing,M,,N,White shark
sep,2015,USA,Spearfishing,M,27,N,Tiger shark
sep,2015,USA,Kayak Fishing,M,,N,Hammerhead shark
sep,2015,USA,Stand-Up Paddleboarding,F,50,N,White shark
sep,2015,USA,Kayak Fishing,M,29,N,Hammerhead shark
sep,2015,AUSTRALIA,Surf-skiing,M,62,N,White shark
sep,2015,THAILAND,Wading,F,37,N,Unidentified Shark Type
,2015,FIJI,Spearfishing,M,,N,Tiger shark
aug,2015,USA,Surfing,F,54,N,White shark
aug,2015,USA,Surfing,M,21,N,White shark
aug,2015,USA,Kayak Fishing,M,22,N,White shark
aug,2015,USA,Spearfishing,M,57,N,Hammerhead shark
jul,2015,AUSTRALIA,Surfing,M,52,N,White shark
jul,2015,USA,Surfing,M,25,N,Spinner shark
jul,2015,AUSTRALIA,Scallop diving on hookah,M,46,Y,White shark
jul,2015,USA,Kayak Fishing,M,31,N,Mako shark
jul,2015,AUSTRALIA,Surfing,M,40,N,Whaler shark
jul,2015,REUNION,Surfing,M,45,N,Bull shark
jul,2015,SOUTH AFRICA,Surfing,M,34,N,White shark
jul,2015,USA,Surfing,M,38,N,White shark
jul,2015,AUSTRALIA,Surfing,M,52,N,White shark
jul,2015,AUSTRALIA,Body boarding ,M,32,N,White shark
jun,2015,USA,Swimming,M,18,N,Bull shark
jun,2015,SOUTH AFRICA,Body Boarding,M,19,N,White shark
jun,2015,SOUTH AFRICA,Surfing,M,23,N,White shark
jun,2015,AUSTRALIA,Swimming,M,19,N,Wobbegong shark
jun,2015,AUSTRALIA,Surfing,F,37,N,White shark
jun,2015,USA,Standing,M,9,N,Unidentified Shark Type
jun,2015,USA,Wading,M,16,N,Bull shark
jun,2015,USA,Wading,F,12,N,Bull shark
jun,2015,USA,,F,,N,Mako shark
jun,2015,USA,Playing,M,11,N,Bull shark
jun,2015,USA,Attempting to rescue a shark,F,17,N,Nurse shark
jun,2015,REUNION,Surfing,M,47,N,Bull shark
may,2015,NEW CALEDONIA,Snorkeling,M,50,Y,Bull shark
may,2015,AUSTRALIA,Surfing,M,,N,White shark
may,2015,SOUTH AFRICA,Diving,M,29,N,White shark
apr,2015,AUSTRALIA,Surfing,M,26,N,White shark
jun,2015,AUSTRALIA,Surf skiing ,M,71,N,White shark
apr,2015,USA,Photographing the shark,M,48,N,Blue shark
apr,2015,REUNION,Surfing,M,13,Y,Bull shark
apr,2015,USA,Spearfishing,M,70,N,Bull shark
mar,2015,SOUTH AFRICA,Kayak Fishing,M,36,N,White shark
mar,2015,EGYPT,Swimming,M,52,Y,Mako shark
mar,2015,USA,Standing / Snorkeling,M,58,N,Tiger shark
mar,2015,FRENCH POLYNESIA,Hand feeding sharks,M,9,N,Blacktip shark
mar,2015,FRENCH POLYNESIA,Sitting in the water,M,18,N,Reef shark
feb,2015,OCEAN,Transatlantic Rowing,,,N,White shark
feb,2015,REUNION,Swimming,F,22,Y,Tiger shark
jan,2015,AUSTRALIA,Rowing,M,57,N,Bull shark
jan,2015,USA,Fishing,M,,N,White shark
jan,2015,BAHAMAS,Snorkeling,F,34,N,White shark
jan,2015,SOUTH AFRICA,Surfing,M,15,N,Raggedtooth shark
jan,2015,USA,,M,12,N,Unidentified Shark Type
dec,2014,AUSTRALIA,Spearfishing,M,17,Y,White shark
dec,2014,USA,Surfing,M,50,N,White shark
dec,2014,AUSTRALIA,Spearfishing,M,17,Y,Tiger shark
nov,2014,AUSTRALIA,Fishing,M,,N,White shark
nov,2014,USA,,,,N,White shark
oct,2014,USA,Surfing,F,34,N,Tiger shark
oct,2014,USA,Stand-Up Paddleboarding,F,,N,Tiger shark
oct,2014,USA,Standing in inner tube,F,7,N,Bull shark
oct,2014,USA,Surfing,M,29,N,Blacktip shark
oct,2014,USA,Surfing,M,15,N,Blacktip shark
oct,2014,USA,Kayaking,M,,N,White shark
oct,2014,USA,Kayaking ,M,,N,White shark
oct,2014,AUSTRALIA,Surfing,M,23,N,White shark
sep,2014,FRENCH POLYNESIA,Feeding fish,F,36,N,Blacktip shark
sep,2014,USA,Fishing ,M,43,N,Bull shark
sep,2014,USA,Kayaking ,F,20,N,White shark
aug,2014,USA,Body surfing,F,13,N,Spinner shark
aug,2014,USA,Surfing,M,17,N,Spinner shark
aug,2014,SPAIN,Swimming,F,30,N,Unidentified Shark Type
aug,2014,USA,Fishing for sharks,M,,N,Bull shark
aug,2014,AUSTRALIA,Spearfishing,M,31,N,Reef shark
aug,2014,USA,Standing,M,,N,Bull shark
aug,2014,BAHAMAS,Spearfishing,M,,N,Bull shark
aug,2014,USA,Swimming,M,7,N,Bull shark
aug,2014,SOUTH AFRICA,Surfing,M,20,N,White shark
jul,2014,USA,Swimming,M,,N,Tiger shark
jul,2014,USA,Swimming,M,,N,White shark
jun,2014,ST. MARTIN,Transatlantic Rowing,M,48,N,Whitetip shark
jun,2014,BAHAMAS,Spearfishing,M,42,N,Reef shark
jun,2014,AUSTRALIA,Petting a shark,M,,N,Lemon shark
jun,2014,AUSTRALIA,Body boarding,M,39,N,Whaler shark
jun,2014,USA,Swimming,F,22,N,Bull shark
jun,2014,USA,Tagging sharks,F,37,N,Reef shark
may,2014,AUSTRALIA,Fell into the water,F,29,N,Bull shark
may,2014,AUSTRALIA,Teasing a shark,M,10,N,Nurse shark
may,2014,AUSTRALIA,Surfing,M,35,N,White shark
apr,2014,AUSTRALIA,Spearfishing,M,,N,Reef shark
apr,2014,SOUTH AFRICA,Shark watching,,,N,White shark
apr,2014,SOUTH AFRICA,Fishing,M,,N,Raggedtooth shark
apr,2014,AUSTRALIA,Swimming,F,63,Y,White shark
mar,2014,AUSTRALIA,Swimming,M,,N,Wobbegong shark
mar,2014,USA,Surfing,M,21,N,Spinner shark
feb,2014,FRENCH POLYNESIA,Kitesurfing,M,21,N,Reef shark
,2014,USA,Free diving / Photographing pilot whales,M,,N,Whitetip shark
,2014,NEW ZEALAND,Filming a documentary,,,N,White shark
dec,2013,NEW CALEDONIA,Snorkeling,M,37,N,Bull shark
dec,2013,SOUTH AFRICA,Surfing,M,19,N,White shark
dec,2013,USA,Boogie boarding,M,29,N,Tiger shark
dec,2013,AUSTRALIA,Surfing,M,26,N,Wobbegong shark
nov,2013,AUSTRALIA,Body boarding,M,19,Y,Tiger shark
nov,2013,AUSTRALIA,Surfing,M,35,Y,White shark
nov,2013,USA,Surfing,M,25,N,White shark
nov,2013,AUSTRALIA,Surfing,M,,N,White shark
oct,2013,USA,Kiteboarding,M,46,N,Tiger shark
oct,2013,AUSTRALIA,Snorkeling,F,60,N,Reef shark
oct,2013,REUNION,Body boarding,M,24,N,Bull shark
oct,2013,AUSTRALIA,Diving for crayfish,M,,N,White shark
oct,2013,AUSTRALIA,Surfing,M,41,N,Wobbegong shark
oct,2013,USA,Diving ,M,45,N,Reef shark
oct,2013,USA,Surfing,M,25,N,Tiger shark
oct,2013,USA,Wading,M,6,N,Nurse shark
oct,2013,SOUTH AFRICA,Swimming / snorkeling,M,74,Y,White shark
oct,2013,AUSTRALIA,Diving for Abalone,M,55,N,White shark
oct,2013,USA,Surfing,M,45,N,White shark
oct,2013,USA,Wading,M,12,N,Bull shark
sep,2013,USA,Swimming,M,21,N,Bull shark
sep,2013,USA,,M,3,N,Nurse shark
aug,2013,BAHAMAS,Spearfishing,M,,N,Blacktip shark
aug,2013,FRANCE,Longline fishing for sharks,M,50,N,Mako shark
aug,2013,USA,Surfing,F,,N,White shark
aug,2013,USA,Snorkeling,F,20,Y,Tiger shark
aug,2013,USA,Surfing,M,10,N,Bull shark
aug,2013,SOUTH AFRICA,Attempting to free the shark,M,,N,Blacktip shark
aug,2013,USA,Fishing,M,17,N,Bull shark
jul,2013,USA,Surfing,M,18,N,Tiger shark
jul,2013,BAHAMAS,Cleaning fish,M,64,N,Nurse shark
jun,2013,USA,Kayaking / Fishing,M,,N,White shark
jun,2013,USA,Swimming,M,,N,Bull shark
jun,2013,USA,Swimming,M,28,N,Tiger shark
jun,2013,USA,Fishing for sharks,M,58,N,Lemon shark
may,2013,REUNION,Body boarding,M,36,Y,Bull shark
may,2013,USA,Surfing,M,16,N,Unidentified Shark Type
apr,2013,MEXICO,Swimming,F,34,N,Tiger shark
apr,2013,AUSTRALIA,Fishing,M,51,N,Nurse shark
apr,2013,SOUTH AFRICA,Free diving,M,,N,Blue shark
apr,2013,USA,Surfing,M,21,N,Bull shark
apr,2013,FRENCH POLYNESIA,Kite boarding,M,53,N,Reef shark
mar,2013,BELIZE,Snorkeling,F,,N,Nurse shark
mar,2013,SOUTH AFRICA,Fishing - 'tag & release',M,30,N,Raggedtooth shark
mar,2013,JAMAICA,Spearfishing,M,68,Y,Tiger shark
mar,2013,AUSTRALIA,Spearfishing,M,28,N,Whaler shark
mar,2013,PHILIPPINES,Swimming to shore with floatioon devices after boat engine conked out,M,28,N,Unidentified Shark Type
feb,2013,NEW ZEALAND,Swimming,M,46,Y,White shark
feb,2013,USA,Surfing,,,N,Reef shark
feb,2013,USA,Surfing,M,,N,Reef shark
feb,2013,USA,Surfing,M,16,N,Blacktip shark
feb,2013,FRENCH POLYNESIA,Scuba diving,M,48,N,Lemon shark
jan,2013,AUSTRALIA,Fishing,M,,N,White shark
jan,2013,USA,Surfing,M,43,N,Tiger shark
jan,2013,NEW ZEALAND,Spearfishing,M,,N,Whaler shark
dec,2012,AUSTRALIA,Paddle boarding,M,29,N,Bull shark
dec,2012,SOUTH AFRICA,Swimming,M,20,Y,Tiger shark
dec,2012,AUSTRALIA,Surfing,M,32,N,Tiger shark
nov,2012,USA,Snorkeling,M,61,N,Tiger shark
nov,2012,USA,Diving,M,30,N,Tiger shark
nov,2012,USA,Surfing,M,43,N,Tiger shark
oct,2012,USA,Surfing,M,25,N,White shark
oct,2012,USA,Swimming,F,51,N,Tiger shark
oct,2012,USA,Surfing,M,39,Y,White shark
sep,2012,TONGA,Swimming,F,29,N,Bull shark
sep,2012,USA,Spearfishing,,,N,Tiger shark
aug,2012,USA,Free diving ,M,56,N,Lemon shark
